Categoria,Subcategoria,Produto
BEBIDAS,Energéticos,Bebida Isotônica 500ml
BEBIDAS,Bebidas Alcoólicas,Cerveja Premium 600ml
BEBIDAS,Bebidas Alcoólicas,Cerveja Comum 600ml
BEBIDAS,Bebidas Alcoólicas,Cerveja Pilsen 600ml
BEBIDAS,Bebidas Alcoólicas,Vinho Tinto Seco 750ml
BEBIDAS,Bebidas Alcoólicas,Vinho Branco Seco 750ml
BEBIDAS,Bebidas Alcoólicas,Vinho Rosé 750ml
BEBIDAS,Bebidas Alcoólicas,Champagne 750ml
BEBIDAS,Bebidas Alcoólicas,Vinho de Caixinha 1L
BEBIDAS,Bebidas Alcoólicas,Vodka 1L
BEBIDAS,Bebidas Alcoólicas,Rum 1L
BEBIDAS,Bebidas Alcoólicas,Uísque 750ml
BEBIDAS,Bebidas Alcoólicas,Cachaça 1L
BEBIDAS,Bebidas Alcoólicas,Conhaque 750ml
HORTIFRÚTI,Frutas Cítricas,Laranja Pera kg
HORTIFRÚTI,Frutas Cítricas,Laranja Moro kg
HORTIFRÚTI,Frutas Cítricas,Limão Tahiti kg
HORTIFRÚTI,Frutas Cítricas,Limão Siciliano kg
HORTIFRÚTI,Frutas Cítricas,Mexerica Ponkan kg
HORTIFRÚTI,Frutas Cítricas,Tangerina kg
HORTIFRÚTI,Frutas Cítricas,Grapefruit Branco kg
HORTIFRÚTI,Frutas Cítricas,Grapefruit Rosa kg
HORTIFRÚTI,Frutas Tropicais,Banana Prata kg
HORTIFRÚTI,Frutas Tropicais,Banana Nanica kg
HORTIFRÚTI,Frutas Tropicais,Banana Ouro kg
HORTIFRÚTI,Frutas Tropicais,Banana da Terra kg
HORTIFRÚTI,Frutas Tropicais,Abacaxi Havaiano kg
HORTIFRÚTI,Frutas Tropicais,Abacaxi Pérola kg
HORTIFRÚTI,Frutas Tropicais,Mamão Papaia kg
HORTIFRÚTI,Frutas Tropicais,Mamão Formosa kg
HORTIFRÚTI,Frutas Tropicais,Melancia kg
HORTIFRÚTI,Frutas Tropicais,Melão Amarelo kg
HORTIFRÚTI,Frutas Tropicais,Melão Cantaloupe kg
HORTIFRÚTI,Frutas Tropicais,Manga Palmer kg
HORTIFRÚTI,Frutas Tropicais,Manga Ubá kg
HORTIFRÚTI,Frutas Tropicais,Coco Verde Unid
HORTIFRÚTI,Frutas Vermelhas,Morango kg
HORTIFRÚTI,Frutas Vermelhas,Framboesa kg
HORTIFRÚTI,Frutas Vermelhas,Amora kg
HORTIFRÚTI,Frutas Vermelhas,Mirtilo kg
HORTIFRÚTI,Frutas Vermelhas,Cereja kg
HORTIFRÚTI,Frutas de Clima Temperado,Maçã Fuji kg
HORTIFRÚTI,Frutas de Clima Temperado,Maçã Gala kg
HORTIFRÚTI,Frutas de Clima Temperado,Maçã Verde kg
HORTIFRÚTI,Frutas de Clima Temperado,Pêra Williams kg
HORTIFRÚTI,Frutas de Clima Temperado,Pêra Rocha kg
HORTIFRÚTI,Frutas de Clima Temperado,Pêssego kg
HORTIFRÚTI,Frutas de Clima Temperado,Nectarina kg
HORTIFRÚTI,Frutas de Clima Temperado,Ameixa Roxa kg
HORTIFRÚTI,Frutas de Clima Temperado,Ameixa Amarela kg
HORTIFRÚTI,Frutas de Clima Temperado,Uva Branca kg
HORTIFRÚTI,Frutas de Clima Temperado,Uva Roxa kg
HORTIFRÚTI,Frutas Secas,Tâmara kg
HORTIFRÚTI,Frutas Secas,Figo kg
HORTIFRÚTI,Vegetais Folhosos,Alface Crespa kg
HORTIFRÚTI,Vegetais Folhosos,Alface Americana kg
HORTIFRÚTI,Vegetais Folhosos,Rúcula kg
HORTIFRÚTI,Vegetais Folhosos,Couve Manteiga kg
HORTIFRÚTI,Vegetais Folhosos,Espinafre kg
HORTIFRÚTI,Vegetais Folhosos,Repolho Branco kg
HORTIFRÚTI,Vegetais Folhosos,Repolho Roxo kg
HORTIFRÚTI,Vegetais Folhosos,Escarola kg
HORTIFRÚTI,Vegetais Folhosos,Agrião kg
HORTIFRÚTI,Legumes,Tomate Caqui kg
HORTIFRÚTI,Legumes,Tomate Comum kg
HORTIFRÚTI,Legumes,Tomate Cereja kg
HORTIFRÚTI,Legumes,Cenoura kg
HORTIFRÚTI,Legumes,Cenoura Roxa kg
HORTIFRÚTI,Legumes,Beterraba kg
HORTIFRÚTI,Legumes,Nabo kg
HORTIFRÚTI,Legumes,Abóbora Moranga kg
HORTIFRÚTI,Legumes,Abóbora Italiana kg
HORTIFRÚTI,Legumes,Abobrinha Italiana kg
HORTIFRÚTI,Legumes,Abobrinha Verde kg
HORTIFRÚTI,Legumes,Berinjela kg
HORTIFRÚTI,Legumes,Chuchu kg
HORTIFRÚTI,Legumes,Pimentão Vermelho kg
HORTIFRÚTI,Legumes,Pimentão Amarelo kg
HORTIFRÚTI,Legumes,Pimentão Verde kg
HORTIFRÚTI,Legumes,Brócolis kg
HORTIFRÚTI,Legumes,Couve Flor kg
HORTIFRÚTI,Legumes,Repolho Doce kg
HORTIFRÚTI,Legumes,Repolho de Água kg
HORTIFRÚTI,Batata e Raízes,Batata Inglesa kg
HORTIFRÚTI,Batata e Raízes,Batata Doce kg
HORTIFRÚTI,Batata e Raízes,Batata Roxa kg
HORTIFRÚTI,Batata e Raízes,Inhame kg
HORTIFRÚTI,Batata e Raízes,Cará kg
HORTIFRÚTI,Batata e Raízes,Mandioca kg
HORTIFRÚTI,Aromáticas,Cebola Branca kg
HORTIFRÚTI,Aromáticas,Cebola Roxa kg
HORTIFRÚTI,Aromáticas,Alho kg
HORTIFRÚTI,Aromáticas,Cebolinha kg
HORTIFRÚTI,Aromáticas,Salsinha kg
HORTIFRÚTI,Aromáticas,Coentro kg
HORTIFRÚTI,Aromáticas,Hortelã kg
HORTIFRÚTI,Aromáticas,Alecrim kg
HORTIFRÚTI,Aromáticas,Tomilho kg
HORTIFRÚTI,Aromáticas,Manjericão kg
CARNES,Bovina,Bife Contrafilé kg
CARNES,Bovina,Bife Mignon kg
CARNES,Bovina,Alcatra kg
CARNES,Bovina,Carne Moída kg
CARNES,Bovina,Lagarto kg
CARNES,Bovina,Músculo kg
CARNES,Bovina,Ponta de Peito kg
CARNES,Bovina,Costela kg
CARNES,Bovina,Carne Seca kg
CARNES,Suína,Bisteca Suína kg
CARNES,Suína,Lombo de Porco kg
CARNES,Suína,Costela Suína kg
CARNES,Suína,Pernil Suíno kg
CARNES,Suína,Toucinho kg
CARNES,Suína,Barriga de Porco kg
CARNES,Aves,Peito de Frango kg
CARNES,Aves,Coxa de Frango kg
CARNES,Aves,Sobrecoxa de Frango kg
CARNES,Aves,Asa de Frango kg
CARNES,Aves,Frango Inteiro kg
CARNES,Aves,Frango Desfiado kg
CARNES,Aves,Peito de Peru kg
CARNES,Aves,Coxa de Peru kg
CARNES,Aves,Ovos Galinha Dúzia
CARNES,Aves,Ovos Caipira Dúzia
CARNES,Aves,Ovos Vermelhos Dúzia
CARNES,Peixes e Frutos do Mar,Filé de Merluza kg
CARNES,Peixes e Frutos do Mar,Filé de Sardinha kg
CARNES,Peixes e Frutos do Mar,Filé de Tilápia kg
CARNES,Peixes e Frutos do Mar,Filé de Pargo kg
CARNES,Peixes e Frutos do Mar,Filé de Dourado kg
CARNES,Peixes e Frutos do Mar,Truta kg
CARNES,Peixes e Frutos do Mar,Camarão Médio kg
CARNES,Peixes e Frutos do Mar,Camarão Grande kg
CARNES,Peixes e Frutos do Mar,Camarão Rosa kg
CARNES,Peixes e Frutos do Mar,Lula kg
CARNES,Peixes e Frutos do Mar,Polvo kg
CARNES,Peixes e Frutos do Mar,Vieira kg
CARNES,Peixes e Frutos do Mar,Ostra Dúzia
CARNES,Peixes e Frutos do Mar,Mexilhão kg
FRIOS E LATICÍNIOS,Queijos,Queijo Meia Cura kg
FRIOS E LATICÍNIOS,Queijos,Queijo Meia Cura Fatiado 300g
FRIOS E LATICÍNIOS,Queijos,Queijo Meia Cura Ralado 500g
FRIOS E LATICÍNIOS,Queijos,Queijo Cheddar kg
FRIOS E LATICÍNIOS,Queijos,Queijo Muçarela kg
FRIOS E LATICÍNIOS,Queijos,Queijo Muçarela de Búfala kg
FRIOS E LATICÍNIOS,Queijos,Queijo Prato kg
FRIOS E LATICÍNIOS,Queijos,Queijo Prato Fatiado 300g
FRIOS E LATICÍNIOS,Queijos,Queijo Branco kg
FRIOS E LATICÍNIOS,Queijos,Queijo Camembert 200g
FRIOS E LATICÍNIOS,Queijos,Queijo Brie 200g
FRIOS E LATICÍNIOS,Queijos,Queijo Gorgonzola 200g
FRIOS E LATICÍNIOS,Queijos,Queijo Roquefort 200g
FRIOS E LATICÍNIOS,Queijos,Queijo Suíço 200g
FRIOS E LATICÍNIOS,Queijos,Queijo Cottage 250g
FRIOS E LATICÍNIOS,Queijos,Queijo Ricota 250g
FRIOS E LATICÍNIOS,Embutidos,Presunto Cru 500g
FRIOS E LATICÍNIOS,Embutidos,Presunto Cozido 500g
FRIOS E LATICÍNIOS,Embutidos,Peito de Peru 500g
FRIOS E LATICÍNIOS,Embutidos,Mortadela 500g
FRIOS E LATICÍNIOS,Embutidos,Salame 500g
FRIOS E LATICÍNIOS,Embutidos,Linguiça Frescal 500g
FRIOS E LATICÍNIOS,Embutidos,Linguiça Calabresa 500g
FRIOS E LATICÍNIOS,Embutidos,Linguiça Italiana 500g
FRIOS E LATICÍNIOS,Embutidos,Salsichão 500g
FRIOS E LATICÍNIOS,Embutidos,Salsicha Franca 500g
FRIOS E LATICÍNIOS,Embutidos,Bacon 200g
FRIOS E LATICÍNIOS,Embutidos,Apresuntado 500g
FRIOS E LATICÍNIOS,Embutidos,Patê de Fígado 150g
FRIOS E LATICÍNIOS,Embutidos,Requeijão 200g
FRIOS E LATICÍNIOS,Embutidos,Requeijão Cremoso 500ml
FRIOS E LATICÍNIOS,Leites Frescos,Leite Integral 1L
FRIOS E LATICÍNIOS,Leites Frescos,Leite Desnatado 1L
FRIOS E LATICÍNIOS,Leites Frescos,Leite Semi-Desnatado 1L
FRIOS E LATICÍNIOS,Leites Frescos,Leite Integral 2L
FRIOS E LATICÍNIOS,Leites Frescos,Leite Desnatado 2L
FRIOS E LATICÍNIOS,Leites Frescos,Leite Integral Longa Vida 1L
FRIOS E LATICÍNIOS,Leites Frescos,Leite Desnatado Longa Vida 1L
FRIOS E LATICÍNIOS,Iogurtes,Iogurte Natural 500ml
FRIOS E LATICÍNIOS,Iogurtes,Iogurte Natural Integral 500ml
FRIOS E LATICÍNIOS,Iogurtes,Iogurte Desnatado 500ml
FRIOS E LATICÍNIOS,Iogurtes,Iogurte Grego 500ml
FRIOS E LATICÍNIOS,Iogurtes,Iogurte Morango 500ml
FRIOS E LATICÍNIOS,Iogurtes,Iogurte Frutas Vermelhas 500ml
FRIOS E LATICÍNIOS,Iogurtes,Iogurte Banana 500ml
FRIOS E LATICÍNIOS,Iogurtes,Iogurte Uva 500ml
FRIOS E LATICÍNIOS,Iogurtes,Iogurte Mel 500ml
FRIOS E LATICÍNIOS,Iogurtes,Iogurte Cremoso 250ml Pote
FRIOS E LATICÍNIOS,Manteiga e Margarinas,Manteiga com Sal 200g
FRIOS E LATICÍNIOS,Manteiga e Margarinas,Manteiga sem Sal 200g
FRIOS E LATICÍNIOS,Manteiga e Margarinas,Margarina com Sal 500g
FRIOS E LATICÍNIOS,Manteiga e Margarinas,Margarina sem Sal 500g
FRIOS E LATICÍNIOS,Manteiga e Margarinas,Margarina Integral 500g
PADARIA,Pães Diários,Pão Francês kg
PADARIA,Pães Diários,Pão de Forma Integral 500g
PADARIA,Pães Diários,Pão de Forma Branco 500g
PADARIA,Pães Diários,Pão de Forma Centeio 500g
PADARIA,Pães Diários,Pão Sírio 300g
PADARIA,Pães Diários,Pão Árabe 300g
PADARIA,Pães Diários,Pão Integral 500g
PADARIA,Pães Diários,Pão Multigrãos 500g
PADARIA,Pães Diários,Bisnaguinha 400g
PADARIA,Pães para Lanches,Pão de Hambúrguer 300g
PADARIA,Pães para Lanches,Pão de Cachorro Quente 300g
PADARIA,Pães para Lanches,Brioches 300g
PADARIA,Pães para Lanches,Croissant Congelado 300g
PADARIA,Bolos e Tortas,Bolo de Chocolate 500g
PADARIA,Bolos e Tortas,Bolo de Baunilha 500g
PADARIA,Bolos e Tortas,Bolo de Cenoura 500g
PADARIA,Bolos e Tortas,Bolo de Laranja 500g
PADARIA,Bolos e Tortas,Bolo Integral 500g
PADARIA,Bolos e Tortas,Bolo Sem Glúten 500g
PADARIA,Bolos e Tortas,Torta de Chocolate 1kg
PADARIA,Bolos e Tortas,Torta de Morango 1kg
PADARIA,Biscoitos Doces,Biscoito de Água e Sal 200g
PADARIA,Biscoitos Doces,Biscoito Integral 200g
PADARIA,Biscoitos Doces,Biscoito Recheado Chocolate 200g
PADARIA,Biscoitos Doces,Biscoito Recheado Morango 200g
PADARIA,Biscoitos Doces,Biscoito Amanteigado 200g
PADARIA,Biscoitos Doces,Biscoito Polvilho 200g
PADARIA,Biscoitos Doces,Biscoito Rosca Doce 200g
PADARIA,Biscoitos Doces,Biscoito Maisena 200g
PADARIA,Biscoitos Doces,Biscoito Gengibre 200g
PADARIA,Biscoitos Doces,Biscoito de Noz 200g
PADARIA,Biscoitos Doces,Biscoito de Chocolate 200g
PADARIA,Salgados,Coxinha Frango 80g
PADARIA,Salgados,Empada Presunto 80g
PADARIA,Salgados,Risoles Queijo 80g
PADARIA,Salgados,Esfiha Carne 80g
PADARIA,Salgados,Pastel Forno 80g
PADARIA,Salgados,Bolinho Carne 80g
PADARIA,Congelados de Padaria,Pão de Queijo Congelado 300g
PADARIA,Congelados de Padaria,Bolo Pronto Congelado 500g
PADARIA,Congelados de Padaria,Pizza Fresca Congelada 500g
CONGELADOS,Legumes Congelados,Brócolis Congelado 500g
CONGELADOS,Legumes Congelados,Couve Flor Congelada 500g
CONGELADOS,Legumes Congelados,Milho Congelado 500g
CONGELADOS,Legumes Congelados,Cenoura Congelada 500g
CONGELADOS,Legumes Congelados,Misto Congelado 500g
CONGELADOS,Proteínas Congeladas,Frango Desfiado Congelado 500g
CONGELADOS,Proteínas Congeladas,Hambúrguer Congelado 300g
CONGELADOS,Proteínas Congeladas,Almôndega Congelada 300g
CONGELADOS,Proteínas Congeladas,Linguiça Congelada 300g
CONGELADOS,Proteínas Congeladas,Nuggets Congelado 300g
CONGELADOS,Proteínas Congeladas,Tiras de Peixe Congelado 400g
CONGELADOS,Massas Congeladas,Macarrão Congelado 500g
CONGELADOS,Massas Congeladas,Lasanha Congelada 500g
CONGELADOS,Frutas Congeladas,Morango Congelado 300g
CONGELADOS,Frutas Congeladas,Framboesa Congelada 300g
CONGELADOS,Frutas Congeladas,Mirtilo Congelado 300g
CONGELADOS,Frutas Congeladas,Polpa Açaí 500ml
CONGELADOS,Frutas Congeladas,Polpa Morango 500ml
CONGELADOS,Frutas Congeladas,Polpa Goiaba 500ml
CONGELADOS,Sobremesas,Sorvete Baunilha 1.5L
CONGELADOS,Sobremesas,Sorvete Chocolate 1.5L
CONGELADOS,Sobremesas,Sorvete Morango 1.5L
CONGELADOS,Sobremesas,Sorvete Açaí 1.5L
CONGELADOS,Sobremesas,Sorvete Flocos 1.5L
CONGELADOS,Sobremesas,Picolé Sabores 6 Unid
CONGELADOS,Sobremesas,Picolé Fruta 6 Unid
LIMPEZA,Detergentes e Desengorduran,Detergente Neutro 500ml
LIMPEZA,Detergentes e Desengorduran,Detergente Concentrado 500ml
LIMPEZA,Detergentes e Desengorduran,Desengordurador 500ml
LIMPEZA,Detergentes e Desengorduran,Desinfetante 1L
LIMPEZA,Detergentes e Desengorduran,Água Sanitária 1L
LIMPEZA,Detergentes e Desengorduran,Cloro Puro 1L
LIMPEZA,Detergentes e Desengorduran,Multiuso 500ml
LIMPEZA,Sabões,Sabão em Barra 200g
LIMPEZA,Sabões,Sabão em Pó 1kg
LIMPEZA,Sabões,Sabão em Pó Comprimido 500g
LIMPEZA,Sabões,Sabão Líquido 1L
LIMPEZA,Amaciantes,Amaciante Concentrado 2L
LIMPEZA,Amaciantes,Amaciante Líquido 1L
LIMPEZA,Limpa Vidros,Limpa Vidro 500ml
LIMPEZA,Limpa Vidros,Limpa Vidro Concentrado 500ml
LIMPEZA,Limpadores Especiais,Limpa Alumínio 500ml
LIMPEZA,Limpadores Especiais,Limpa Madeira 500ml
LIMPEZA,Limpadores Especiais,Limpa Tapete 500ml
LIMPEZA,Limpadores Especiais,Limpa Forno 500ml
LIMPEZA,Vassouras e Panos,Vassoura de Nylon Unid
LIMPEZA,Vassouras e Panos,Vassoura de Piaçava Unid
LIMPEZA,Vassouras e Panos,Rodo 45cm Unid
LIMPEZA,Vassouras e Panos,Pano de Chão Algodão Unid
LIMPEZA,Vassouras e Panos,Pano de Prato 10 Unid
LIMPEZA,Vassouras e Panos,Esponja de Aço 3 Unid
LIMPEZA,Vassouras e Panos,Esponja Comum 3 Unid
LIMPEZA,Escovas e Esponjas,Escova de Cerdas Duras Unid
LIMPEZA,Escovas e Esponjas,Escova de Cerdas Macias Unid
LIMPEZA,Escovas e Esponjas,Escova de Limpeza Geral Unid
LIMPEZA,Utensílios,Pá de Lixo Unid
LIMPEZA,Utensílios,Peneira para Lixo Unid
HIGIENE PESSOAL,Higiene Oral,Creme Dental 100g
HIGIENE PESSOAL,Higiene Oral,Creme Dental Branqueador 100g
HIGIENE PESSOAL,Higiene Oral,Creme Dental Sensibilidade 100g
HIGIENE PESSOAL,Higiene Oral,Creme Dental Infantil 100g
HIGIENE PESSOAL,Higiene Oral,Enxaguante Bucal 250ml
HIGIENE PESSOAL,Higiene Oral,Escova de Dente Macia Unid
HIGIENE PESSOAL,Higiene Oral,Escova de Dente Média Unid
HIGIENE PESSOAL,Higiene Oral,Escova de Dente Elétrica Unid
HIGIENE PESSOAL,Higiene Oral,Fio Dental 50m
HIGIENE PESSOAL,Higiene Pessoal Feminina,Absorvente Diário 30 Unid
HIGIENE PESSOAL,Higiene Pessoal Feminina,Absorvente Noturno 20 Unid
HIGIENE PESSOAL,Higiene Pessoal Feminina,Absorvente Super 15 Unid
HIGIENE PESSOAL,Higiene Pessoal Feminina,Tampão 20 Unid
HIGIENE PESSOAL,Higiene Pessoal Feminina,Disco de Limpeza 3 Unid
HIGIENE PESSOAL,Higiene Pessoal Feminina,Lenço Íntimo 10 Unid
HIGIENE PESSOAL,Banho,Sabonete Líquido 250ml
